init,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,fourier_basis,5,400,50,10,0.186924039,0.006988427,0.975714286,0.059948958,0.698655441,0.012791833,5.017150636,1.006091162,41,0.191576614,0.961168732,0.671525764
PCA,fourier_basis,5,600,50,10,0.186924039,0.006988427,0.975714286,0.059948958,0.698655441,0.012791833,5.017150636,1.006091162,41,0.191576614,0.961168732,0.671525764
PCA,fourier_basis,4,200,50,10,0.178819042,0.010302108,0.911580087,0.114640602,0.691661,0.007350119,5.20306461,1.500900244,41,0.196163831,1.020653089,0.705945937
PCA,fourier_basis,4,400,50,10,0.178819042,0.010302108,0.911580087,0.114640602,0.691661,0.007350119,5.20306461,1.500900244,41,0.196163831,1.020653089,0.705945937
PCA,fourier_basis,4,600,50,10,0.178819042,0.010302108,0.911580087,0.114640602,0.691661,0.007350119,5.20306461,1.500900244,41,0.196163831,1.020653089,0.705945937
PCA,fourier_basis,4,200,75,10,0.180859858,0.008308208,0.946041667,0.074053343,0.694927237,0.008626141,5.373688302,0.971814524,41,0.191175362,1.027316805,0.713910429
PCA,fourier_basis,4,400,75,10,0.180859858,0.008308208,0.946041667,0.074053343,0.694927237,0.008626141,5.373688302,0.971814524,41,0.191175362,1.027316805,0.713910429
PCA,fourier_basis,4,600,75,10,0.180859858,0.008308208,0.946041667,0.074053343,0.694927237,0.008626141,5.373688302,0.971814524,41,0.191175362,1.027316805,0.713910429
PCA,fourier_basis,6,200,25,10,0.177231352,0.016019122,0.933722944,0.098291557,0.695524596,0.008935165,5.541250049,1.139914623,71,0.1898115,1.051792983,0.731547889
PCA,fourier_basis,6,400,25,10,0.177231352,0.016019122,0.933722944,0.098291557,0.695524596,0.008935165,5.541250049,1.139914623,71,0.1898115,1.051792983,0.731547889
PCA,fourier_basis,6,600,25,10,0.177231352,0.016019122,0.933722944,0.098291557,0.695524596,0.008935165,5.541250049,1.139914623,71,0.1898115,1.051792983,0.731547889
