init,type,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,multi w GP geo,toroid,,"('variance', 'A', 'r', 'n')",8,0.109076763,0.009030487,1,0,0.747102604,0.015307814,1.087960133,0.028479079,1,0.109076763,0.11867117,0.08865954
kernel pca:rbf,map geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.114855407,0.012201977,0.963303571,0.040711642,0.853223582,0.01692044,0.998853277,0.042285194,41,0.11923075,0.119094025,0.101613831
kernel pca:rbf,map geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.120630053,0.01221331,1,0,0.827557455,0.007829048,0.988286878,0.035525896,51,0.120630053,0.119217099,0.098658999
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'alpha', 'phi', 'f')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'alpha')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'f')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'phi')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'f', 'phi')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'alpha', 'phi')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
PCA,multi w GP geo,fourier_basis,6,"('variance', 'A', 'f', 'alpha')",2,0.110159138,0.01105241,1,0,0.753693325,0.003771657,1.083331083,0.02066586,1,0.110159138,0.119338818,0.08994487
kernel pca:rbf,kernel geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.111095163,0.008224193,1,0,0.743683051,0.024647902,1.075944228,0.036775041,11,0.111095163,0.119532199,0.088894071
