Model,Mean,Std Dev,Difference,Statistic,p-value
GPDM_MCCV_BM,0.15380775615555334,0.0153490518228259,-,-,-
GPDM_geo_11_MCCV_BM,0.15453733064635589,0.017606612880232537,0.0007295744908025759,-0.3714234784944057,0.7119233826379403
GPDM_50_MCCV_BM,0.17630291177287127,0.01937084425908436,0.022495155617317963,-10.640691438775065,2.460732461286026e-14
GPDM_50_50_MCCV_BM,0.19104435950090284,0.015458586070904227,0.037236603345349534,-16.93447782296467,4.064495280652174e-22
RNN_MCCV_BM,0.2918394601983988,0.07522867184501801,0.13803170404284548,-12.834137727941318,2.7385470550543556e-17
transformer_MCCV_BM,0.35610161269468826,0.06462296364112825,0.20229385653913495,-23.971619885157835,1.013021514600337e-28
VAE_MCCV_BM,0.18920934127253797,0.03622553401289477,0.03540158511698466,-7.511782194405885,1.0733477212638215e-09
