input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
15,1,10,0.307259616,0.076422933,0.942171717,0.033280682,0.845240245,0.015658748,1.572174457,0.18511915,41,0.326118488,0.512715156,0.433367484
5,2,10,0.31049774,0.09723493,0.914171939,0.044710807,0.986576196,0.031204946,1.461919378,0.217634091,31,0.33964917,0.496539703,0.489874252
11,2,10,0.314039125,0.074901046,0.912351537,0.058388425,0.87462175,0.020534215,1.622657772,0.219262227,31,0.344208468,0.558532547,0.488504713
13,1,10,0.319925323,0.080639427,0.927358752,0.048475159,0.852337543,0.021621061,1.810114386,0.260757551,41,0.3449855,0.624463217,0.532253444
13,2,10,0.317843793,0.077732253,0.91958597,0.036624307,0.857250729,0.013357861,1.532636562,0.122988269,51,0.345637932,0.529737333,0.454117715
10,2,10,0.314435322,0.07161003,0.908311133,0.053365359,0.880028925,0.017235626,1.666196878,0.195900451,31,0.346175787,0.576797016,0.507598058
11,1,10,0.321842957,0.110965388,0.925790876,0.06167736,0.876763571,0.022060013,1.724772228,0.303873627,21,0.347641099,0.599601712,0.525708938
12,2,10,0.320300359,0.087909981,0.917676213,0.05068855,0.863798255,0.016675776,1.591038706,0.124666447,41,0.349034174,0.555326881,0.479690391
14,1,10,0.330339247,0.073106241,0.937878788,0.033524094,0.85193077,0.01328366,1.703051116,0.238564633,31,0.352219553,0.599847902,0.511028885
12,1,10,0.327702343,0.100001596,0.927358752,0.048475159,0.857389319,0.018801023,1.841008988,0.344016456,31,0.353371704,0.650560484,0.557783611
5,1,10,0.334866432,0.271654816,0.936505162,0.044936907,0.998798827,0.043391008,1.612295273,0.563873156,21,0.357570301,0.576508906,0.575816419
9,2,10,0.316515456,0.074841266,0.883596959,0.057086452,0.887584948,0.017089571,1.781928395,0.246615642,31,0.358212477,0.638308985,0.566553447
18,1,10,0.352650435,0.071370207,0.931106116,0.079688433,0.843825509,0.014337489,1.554457483,0.160366742,31,0.378743549,0.588740744,0.496794458
6,2,10,0.356262489,0.083824768,0.910131535,0.038110628,0.921961726,0.024534255,1.609393384,0.238762638,41,0.39144066,0.629982009,0.5808193
6,1,10,0.361535534,0.138949545,0.922505273,0.051629789,0.94377409,0.023425303,1.838345963,0.341597904,31,0.391906198,0.720459177,0.679950704
8,2,10,0.344105632,0.092265218,0.873695749,0.053927852,0.887903819,0.017055062,1.718705097,0.285924044,31,0.393850642,0.676913106,0.601033732
19,1,10,0.366107298,0.053177447,0.922464757,0.076971924,0.844716794,0.011871372,1.540789779,0.131549936,31,0.396879442,0.611507788,0.516550898
15,2,10,0.377039023,0.077374602,0.937575758,0.028478938,0.872108318,0.011368863,1.52573528,0.117373172,21,0.402142462,0.613562942,0.535093345
14,2,10,0.371959853,0.091976821,0.923903319,0.033419257,0.871579267,0.011217943,1.577568073,0.155908328,21,0.402596079,0.63512272,0.553559795
16,1,10,0.385714767,0.066284555,0.949772783,0.045855524,0.846478935,0.010694739,1.514289935,0.165318572,11,0.406112676,0.614972338,0.52056113
16,2,10,0.390229102,0.11782407,0.950252525,0.03638555,0.870807654,0.0127026,1.5115636,0.141005519,21,0.410658316,0.620736163,0.540541802
20,1,10,0.3868807,0.076423356,0.939439449,0.08206454,0.844763361,0.010163892,1.488915599,0.147465156,31,0.411820794,0.613166404,0.517980512
17,1,10,0.394317109,0.089866787,0.945479853,0.04673598,0.843890835,0.011496932,1.574446482,0.162217334,11,0.417055009,0.656630792,0.554124707
10,1,10,0.381859883,0.14654722,0.90985459,0.053173204,0.882863011,0.015612798,1.861603849,0.233395288,51,0.419693308,0.781302678,0.689783235
9,1,10,0.398679834,0.138195761,0.894311244,0.052007158,0.89624688,0.014153959,2.05543707,0.458728517,31,0.445795395,0.916304381,0.821234942
7,2,10,0.390099276,0.084080005,0.874424464,0.043925563,0.877191971,0.023229804,1.802634779,0.351894634,61,0.446121183,0.80419356,0.705432134
21,1,10,0.421835453,0.0912341,0.93458597,0.084661973,0.844542526,0.011731337,1.473301399,0.184122489,21,0.45136078,0.664990469,0.561612731
18,2,10,0.428011339,0.118791444,0.923575869,0.038565993,0.878588906,0.005416418,1.424154654,0.133278113,21,0.463428456,0.659993793,0.579863224
19,2,10,0.441736963,0.106550996,0.945399045,0.043150101,0.87967194,0.010038627,1.420756859,0.142560441,21,0.467249216,0.663847528,0.583968043
