init,geometry,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
isomap:15,ellipse,10,0.209469939,0.061375096,0.786685452,0.101621361,0.99495431,0.021740564,2.733517349,3.123521723,21,0.266268988,0.727850898,0.724178388
kernel pca:rbf,sphere,10,0.264236277,0.019630582,0.926090909,0.024670879,1.0941284,0.014092767,2.754689973,0.212136158,51,0.285324339,0.785980096,0.859963145
umap:euclidean,linear,10,0.180266133,0.024574226,0.895734599,0.048067118,0.871397739,0.029822127,3.910034045,3.148129463,11,0.201249492,0.786892366,0.685696228
isomap:15,toroid,10,0.220910406,0.056913581,0.749568513,0.099576643,0.979055411,0.032023004,2.898719631,2.777712965,31,0.294716763,0.854301268,0.836408279
isomap:15,torus,10,0.243053648,0.028468531,0.823595516,0.104097803,1.178873962,0.026692545,3.103008043,0.251277675,1,0.295112884,0.915737653,1.079539275
isomap:15,klein bottle,10,0.226241942,0.046415998,0.762157398,0.081139114,0.985667188,0.031532422,3.171108053,3.014703393,31,0.29684412,0.94132478,0.927832949
isomap:15,mobius strip,10,0.223247134,0.042294462,0.75976687,0.088976326,0.980857978,0.023730235,3.665050307,4.426459662,31,0.293836362,1.07692505,1.056310527
isomap:15,none,10,0.228223176,0.04353625,0.739690447,0.091679751,0.976999227,0.027490849,3.987944818,4.912646747,31,0.308538763,1.230435562,1.202134593
isomap:15,linear,10,0.236452468,0.044650092,0.760352092,0.072063074,0.995407363,0.015693408,4.097256743,5.737497774,21,0.310977599,1.274155064,1.268303333
kernel pca:rbf,none,10,0.243968718,0.02665223,0.967171717,0.031051366,0.783315887,0.015788279,6.201419753,1.800337959,31,0.252249641,1.564305905,1.225345667
