init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,kernel geo,fourier_basis,5,10,0.108256042,0.008887035,1,0,0.784332883,0.007547414,1.066113213,0.033532222,1,0.108256042,0.115413197,0.090522365
kernel pca:rbf,kernel geo,ellipse,,10,0.111095163,0.008224193,1,0,0.743683051,0.024647902,1.075944228,0.036775041,11,0.111095163,0.119532199,0.088894071
PCA,kernel geo,fourier_basis,6,10,0.111965387,0.014766432,1,0,0.819007248,0.013163844,1.082876168,0.036794973,31,0.111965387,0.121244649,0.099300246
kernel pca:rbf,kernel geo,fourier_basis,3,10,0.114428954,0.01514811,1,0,0.784302023,0.024278872,1.076654668,0.053791789,11,0.114428954,0.123200467,0.096626376
umap:cosine,kernel geo,fourier_basis,4,10,0.11839728,0.00815236,1,0,0.783415158,0.021525237,1.082607115,0.036604235,1,0.11839728,0.128177738,0.100416383
umap:cosine,kernel geo,toroid,,10,0.118105413,0.010526092,1,0,0.775388879,0.019620995,1.085719347,0.052524284,1,0.118105413,0.128229331,0.099427598
PCA,kernel geo,cocentric_circles,,10,0.115191481,0.010487172,1,0,0.816665236,0.016567815,1.124327986,0.089308968,41,0.115191481,0.129513005,0.105768769
PCA,kernel geo,fourier_basis,4,10,0.114747085,0.00986411,1,0,0.795890822,0.017270676,1.129279693,0.078727469,21,0.114747085,0.129581553,0.103132769
kernel pca:rbf,kernel geo,fourier_basis,5,10,0.115585095,0.01485287,0.961547619,0.075698491,0.863607328,0.025738499,1.093092268,0.115159808,21,0.120207354,0.131397729,0.113476042
PCA,kernel geo,ellipse,,10,0.118037829,0.020578561,1,0,0.790339376,0.011545963,1.118027394,0.068897232,51,0.118037829,0.131969527,0.104300713
PCA,kernel geo,toroid,,10,0.116942699,0.014455606,1,0,0.791659324,0.013218903,1.16453804,0.08710238,21,0.116942699,0.136184222,0.107811509
kernel pca:rbf,kernel geo,toroid,,10,0.117460895,0.015114631,0.956458333,0.072769172,0.828708818,0.035399663,1.115158591,0.076124919,11,0.122808168,0.136950583,0.113492156
umap:euclidean,kernel geo,cocentric_circles,,10,0.136087319,0.012119932,1,0,0.796079051,0.015194632,1.013821294,0.060974699,1,0.136087319,0.137968222,0.109833611
umap:cosine,kernel geo,ellipse,,10,0.122690346,0.007395459,1,0,0.76661289,0.013733891,1.136836492,0.145496736,1,0.122690346,0.139478862,0.106926294
umap:cosine,kernel geo,fourier_basis,6,10,0.122642561,0.010815454,1,0,0.805055746,0.014430111,1.139231785,0.061245241,1,0.122642561,0.139718304,0.112481023
umap:euclidean,kernel geo,fourier_basis,4,10,0.127548013,0.011716434,1,0,0.787108544,0.025689677,1.117544202,0.12714111,1,0.127548013,0.142540542,0.112194879
PCA,kernel geo,fourier_basis,3,10,0.122660323,0.015525495,1,0,0.790172303,0.0121361,1.165785112,0.08562144,21,0.122660323,0.142995578,0.112991146
umap:euclidean,kernel geo,ellipse,,10,0.124811965,0.006038128,1,0,0.769095132,0.016440081,1.154569906,0.106083087,1,0.124811965,0.144104139,0.110829792
kernel pca:rbf,kernel geo,fourier_basis,4,10,0.129383555,0.026972976,0.991875,0.024375,0.836805416,0.017876786,1.118931838,0.050256835,11,0.130443408,0.145957282,0.122137844
umap:euclidean,kernel geo,fourier_basis,3,10,0.128497189,0.008120358,1,0,0.797273792,0.017740057,1.169291506,0.147134154,1,0.128497189,0.150250672,0.119790923
umap:euclidean,kernel geo,fourier_basis,6,10,0.136597897,0.014844354,1,0,0.807877323,0.017146411,1.157197244,0.071178284,1,0.136597897,0.158070709,0.127701742
umap:cosine,linear geo,ellipse,,10,0.141657632,0.019948452,1,0,0.800439948,0.018409612,2.08452014,0.855915533,11,0.141657632,0.295288188,0.236360462
umap:euclidean,linear geo,toroid,,10,0.147164993,0.019823777,1,0,0.814950266,0.045816089,2.131423346,0.793238166,11,0.147164993,0.313670903,0.255626185
