init,type,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,map geo,fourier_basis,10,"('variance', 'A', 'R', 'n', 'r')",10,0.149606673,0.016143184,0.929010212,0.043531227,0.927773298,0.010444821,1.103647891,0.082107117,41,0.161038782,0.177730112,0.164893252
kernel pca:rbf,map geo,fourier_basis,8,"('variance', 'A', 'R', 'n', 'r')",10,0.152352488,0.016757133,0.941611167,0.035060535,0.911082978,0.011703868,1.105714371,0.07791015,61,0.161799789,0.178904352,0.16299671
kernel pca:rbf,map geo,fourier_basis,11,"('variance', 'A', 'R', 'n', 'r')",10,0.152238924,0.013659028,0.93223754,0.045620758,0.940209503,0.012686756,1.09867948,0.084931582,51,0.163304863,0.179419702,0.168692109
kernel pca:rbf,map geo,fourier_basis,6,"('variance', 'A', 'R', 'n', 'r')",10,0.151569931,0.01630336,0.94509102,0.044424458,0.876673183,0.012611148,1.127575585,0.101150239,31,0.160376014,0.180836078,0.15853414
kernel pca:rbf,map geo,fourier_basis,7,"('variance', 'A', 'R', 'n', 'r')",10,0.153076705,0.017946566,0.935944611,0.04960955,0.886225287,0.013127692,1.12547995,0.099110044,81,0.163553167,0.18407581,0.163132637
kernel pca:rbf,map geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.150916876,0.016410862,0.958838384,0.032280788,0.85270361,0.011767391,1.17937281,0.135656994,31,0.157395531,0.185628009,0.158285674
kernel pca:rbf,map geo,fourier_basis,9,"('variance', 'A', 'R', 'n', 'r')",10,0.156246233,0.020011105,0.936757687,0.041029048,0.920200292,0.011027212,1.115863146,0.085036394,51,0.166794717,0.186120078,0.17126775
kernel pca:rbf,map geo,fourier_basis,12,"('variance', 'A', 'R', 'n', 'r')",10,0.160531712,0.01431291,0.944838495,0.048100769,0.99564187,0.048289778,1.097081119,0.073472442,51,0.169903865,0.186398323,0.185585975
umap:euclidean,map geo,fourier_basis,7,"('variance', 'A', 'R', 'n', 'r')",10,0.14349657,0.019214591,0.909376734,0.052654069,0.903127512,0.024044394,1.208797052,0.133314315,11,0.157796615,0.190744083,0.172266229
kernel pca:rbf,map geo,spiral,,"('variance', 'A', 'R', 'n', 'r')",10,0.14511956,0.017548259,0.914230214,0.050833995,0.844237142,0.012687762,1.203928061,0.147518476,21,0.158734155,0.191104503,0.16133752
umap:cosine,map geo,fourier_basis,9,"('variance', 'A', 'R', 'n', 'r')",10,0.144798307,0.015343562,0.895174048,0.052024242,0.909626837,0.018963825,1.202595251,0.17221499,11,0.161754363,0.194525028,0.176945186
kernel pca:rbf,kernel geo,fourier_basis,9,"('variance', 'A', 'R', 'n', 'r')",10,0.155987084,0.017465602,0.923651682,0.043661543,0.900894641,0.02180432,1.155441031,0.146565781,11,0.168880854,0.195131868,0.175793254
umap:cosine,map geo,fourier_basis,8,"('variance', 'A', 'R', 'n', 'r')",10,0.148189811,0.01835877,0.894702853,0.06962158,0.898413786,0.025485286,1.182468812,0.128314665,21,0.165630199,0.195852544,0.175956626
umap:euclidean,map geo,fourier_basis,9,"('variance', 'A', 'R', 'n', 'r')",10,0.142694401,0.020837372,0.885020313,0.053805825,0.900745996,0.013514511,1.217830016,0.12304718,31,0.161232911,0.196354279,0.17686533
umap:cosine,map geo,fourier_basis,10,"('variance', 'A', 'R', 'n', 'r')",10,0.150562288,0.018993386,0.88036297,0.052686674,0.915745833,0.026771631,1.148130659,0.114628775,11,0.171022968,0.196356713,0.179812842
umap:euclidean,map geo,fourier_basis,8,"('variance', 'A', 'R', 'n', 'r')",10,0.148271325,0.02005635,0.903987124,0.054362692,0.89791408,0.014759055,1.20741424,0.10788435,21,0.164019289,0.198039225,0.177822208
kernel pca:rbf,map geo,fourier_basis,13,"('variance', 'A', 'R', 'n', 'r')",10,0.169705183,0.031140216,0.928424353,0.035416722,1.016108277,0.049166408,1.096945648,0.084608114,51,0.182788379,0.200508917,0.203738771
kernel pca:rbf,kernel geo,fourier_basis,11,"('variance', 'A', 'R', 'n', 'r')",10,0.168115928,0.026693935,0.913969142,0.045321416,0.954022435,0.029543225,1.106546207,0.08873454,11,0.183940485,0.203538647,0.194180435
kernel pca:rbf,kernel geo,fourier_basis,10,"('variance', 'A', 'R', 'n', 'r')",10,0.163263565,0.019320708,0.902955378,0.063006716,0.926990842,0.038604213,1.128962309,0.108015821,11,0.180810225,0.204127929,0.189224721
