input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
13,1,10,0.104485668,0.014364716,1,0,0.804784354,0.010271834,1.071751886,0.038217987,21,0.104485668,0.111982712,0.090121935
14,1,10,0.104745023,0.014607598,1,0,0.810347918,0.010563479,1.073266955,0.038812238,21,0.104745023,0.112419372,0.091098804
12,1,10,0.105021141,0.014410168,1,0,0.795708306,0.010026478,1.070569745,0.039269299,31,0.105021141,0.112432457,0.08946344
11,1,10,0.105316383,0.014394921,1,0,0.787981974,0.010009201,1.060769287,0.036722717,41,0.105316383,0.111716385,0.088030497
9,1,10,0.105440399,0.015209774,1,0,0.78018607,0.009501829,1.052543693,0.035624358,31,0.105440399,0.110980627,0.086585539
10,1,10,0.105657158,0.015498016,1,0,0.782215731,0.010148965,1.056517348,0.035697344,41,0.105657158,0.11162862,0.087317663
15,1,10,0.105786016,0.014618654,1,0,0.813399228,0.010170482,1.077557796,0.040140362,21,0.105786016,0.113990546,0.092719822
8,1,10,0.105934183,0.014440746,1,0,0.771049442,0.008469724,1.047431904,0.035319215,41,0.105934183,0.110958843,0.085554754
16,1,10,0.106096517,0.015084715,1,0,0.812933201,0.010271544,1.08817087,0.045951701,41,0.106096517,0.115451139,0.093854064
7,1,10,0.106136423,0.015448225,1,0,0.766753282,0.009974686,1.043795021,0.032936512,51,0.106136423,0.11078467,0.08494451
8,2,10,0.106162988,0.015524272,1,0,0.789771229,0.010513172,1.054328676,0.038216328,31,0.106162988,0.111930683,0.088399633
11,2,10,0.106639494,0.015286994,1,0,0.802981544,0.011640912,1.06938686,0.040023587,21,0.106639494,0.114038874,0.091571111
19,1,10,0.106780945,0.015909474,1,0,0.823584503,0.010882184,1.100403055,0.051812533,11,0.106780945,0.117502078,0.096772891
7,2,10,0.106843175,0.016179543,1,0,0.786975613,0.011380767,1.048760041,0.038655699,31,0.106843175,0.112052853,0.088182862
9,2,10,0.10723415,0.017726229,1,0,0.797734689,0.012578742,1.065536275,0.046335521,21,0.10723415,0.114261876,0.091150662
12,2,10,0.107292092,0.017142829,1,0,0.809664415,0.009916285,1.088891073,0.044496167,11,0.107292092,0.116829401,0.094592609
17,1,10,0.107638238,0.016499733,1,0,0.815528376,0.010736283,1.09876695,0.047328583,31,0.107638238,0.118269339,0.096452002
10,2,10,0.10807167,0.017218784,1,0,0.797076078,0.01283907,1.068506011,0.052287363,31,0.10807167,0.115475229,0.092042543
18,1,10,0.109101874,0.017218352,1,0,0.816592434,0.010692133,1.105470155,0.052198574,31,0.109101874,0.120608865,0.098488287
15,2,10,0.109574222,0.016664946,1,0,0.818012661,0.012284841,1.101988075,0.044427739,1,0.109574222,0.120749486,0.098774609
6,1,10,0.109921343,0.015713145,1,0,0.777305146,0.013495596,1.028611587,0.038526594,51,0.109921343,0.113066367,0.087887069
13,2,10,0.109982468,0.016852491,1,0,0.809704127,0.009640189,1.096981683,0.041275551,21,0.109982468,0.120648753,0.097689793
6,2,10,0.110882887,0.017020555,1,0,0.792490819,0.012975447,1.026643001,0.041258597,41,0.110882887,0.11383714,0.090214888
14,2,10,0.111236216,0.017244339,1,0,0.80986505,0.008328784,1.109720669,0.041797867,31,0.111236216,0.123441128,0.099970655
17,2,10,0.111605905,0.016661178,1,0,0.818072282,0.012686364,1.105362176,0.04249663,1,0.111605905,0.123364946,0.100921443
19,2,10,0.112495115,0.017306857,1,0,0.818061951,0.011164627,1.1105005,0.045541271,1,0.112495115,0.124925882,0.102197111
5,1,10,0.114396996,0.013470138,1,0,0.801816344,0.023489813,1.020256548,0.034192314,51,0.114396996,0.116714284,0.09358342
5,2,10,0.115355136,0.014545717,1,0,0.814899733,0.02031877,1.017379499,0.035527182,51,0.115355136,0.11735995,0.095636592
16,2,10,0.115517838,0.01948302,1,0,0.811224899,0.008575314,1.13229883,0.050941873,21,0.115517838,0.130800713,0.106108795
18,2,10,0.117329767,0.021955126,1,0,0.811974832,0.007786776,1.147121753,0.050208705,11,0.117329767,0.134591528,0.109284933
