input_dim,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
15,fourier_basis,10,0,0,10,0.149606673,0.016143184,0.929010212,0.043531227,0.927773298,0.010444821,1.103647891,0.082107117,41,0.161038782,0.177730112,0.164893252
15,fourier_basis,8,0,0,10,0.152352488,0.016757133,0.941611167,0.035060535,0.911082978,0.011703868,1.105714371,0.07791015,61,0.161799789,0.178904352,0.16299671
15,fourier_basis,11,0,0,10,0.152238924,0.013659028,0.93223754,0.045620758,0.940209503,0.012686756,1.09867948,0.084931582,51,0.163304863,0.179419702,0.168692109
15,fourier_basis,9,0,0,10,0.156246233,0.020011105,0.936757687,0.041029048,0.920200292,0.011027212,1.115863146,0.085036394,51,0.166794717,0.186120078,0.17126775
15,fourier_basis,8,0,75,10,0.191343895,0.026365453,0.958025308,0.04307761,0.852756044,0.006462604,1.219040755,0.099156457,11,0.19972739,0.243475829,0.207625485
15,fourier_basis,8,0,50,10,0.198787708,0.02825918,0.953171828,0.049690578,0.847220154,0.006548696,1.232692087,0.101721681,11,0.208553906,0.25708275,0.217805687
15,fourier_basis,9,0,75,10,0.193716285,0.026318227,0.915036075,0.089245289,0.827288457,0.009250441,1.337956863,0.172854522,41,0.211703441,0.283250071,0.234329514
15,fourier_basis,9,0,50,10,0.202105699,0.026641699,0.90678355,0.086615419,0.82007888,0.008422,1.371695824,0.176129683,41,0.222881965,0.305726261,0.25071965
15,fourier_basis,10,0,75,10,0.206155816,0.033073444,0.891505162,0.088360443,0.845632383,0.010194333,1.373126519,0.145399716,21,0.231244669,0.317528188,0.268512118
15,fourier_basis,8,0,25,10,0.22002404,0.030268806,0.883171717,0.101042573,0.830229155,0.0093253,1.316989819,0.114464915,21,0.2491294,0.328100884,0.27239892
15,fourier_basis,11,0,75,10,0.226967107,0.028665521,0.877896881,0.088375723,0.835808017,0.00810297,1.380397769,0.151195414,21,0.258535042,0.356881196,0.298284164
15,fourier_basis,10,0,50,10,0.212156967,0.035513465,0.8719778,0.087429486,0.832606016,0.007111399,1.467506211,0.171964656,41,0.243305468,0.357052286,0.297283881
39,fourier_basis,10,250,50,10,0.191488407,0.013078778,0.963131313,0.029083192,0.806803943,0.012132983,1.8869113,0.298353888,2,0.198818587,0.375153039,0.302674951
40,fourier_basis,10,250,50,10,0.191460327,0.013074481,0.963131313,0.029083192,0.806588512,0.012157947,1.887648188,0.298410937,2,0.198789433,0.375244512,0.302667913
38,fourier_basis,10,250,50,10,0.19170292,0.013121253,0.963131313,0.029083192,0.807520254,0.012301046,1.891184053,0.298676706,2,0.199041312,0.376423754,0.303969806
36,fourier_basis,10,250,50,10,0.191702669,0.012850173,0.963131313,0.029083192,0.808157051,0.012358012,1.891910552,0.299008598,2,0.199041052,0.376567866,0.304325976
37,fourier_basis,10,250,50,10,0.191757731,0.013031281,0.963131313,0.029083192,0.807933449,0.012301911,1.891390042,0.298054223,2,0.199098221,0.376572392,0.304245432
45,fourier_basis,10,250,50,10,0.191399289,0.013022105,0.958838384,0.032280788,0.805314182,0.011806481,1.887711557,0.304604033,2,0.199615798,0.376817048,0.303456113
44,fourier_basis,10,250,50,10,0.19141804,0.012941773,0.958838384,0.032280788,0.805560572,0.011791038,1.887587249,0.304961343,2,0.199635354,0.376829148,0.303558704
47,fourier_basis,10,250,50,10,0.191459295,0.013104068,0.958838384,0.032280788,0.80454801,0.011627689,1.887457,0.304551652,2,0.19967838,0.376884356,0.303221559
46,fourier_basis,10,250,50,10,0.191428374,0.013068597,0.958838384,0.032280788,0.804994043,0.011657144,1.887999342,0.304511027,2,0.199646132,0.376931765,0.303427826
49,fourier_basis,10,250,50,10,0.191503121,0.013279023,0.958838384,0.032280788,0.804156252,0.011200798,1.88788756,0.305749798,2,0.199724087,0.37705662,0.303212438
43,fourier_basis,10,250,50,10,0.191200948,0.013160594,0.958838384,0.032280788,0.80569254,0.011703178,1.89095248,0.305720553,2,0.199408942,0.377072834,0.303804769
35,fourier_basis,10,250,50,10,0.191760394,0.012885636,0.963131313,0.029083192,0.808598635,0.012578261,1.894568027,0.298456083,2,0.199100986,0.377210363,0.305011784
42,fourier_basis,10,250,50,10,0.191305021,0.013096497,0.958838384,0.032280788,0.806012297,0.011738633,1.89113631,0.305499863,2,0.199517483,0.377314756,0.304120333
41,fourier_basis,10,250,50,10,0.191418564,0.013048736,0.958838384,0.032280788,0.806366066,0.012000903,1.891734622,0.304140265,2,0.1996359,0.377658144,0.304530712
34,fourier_basis,10,250,50,10,0.192055694,0.012616161,0.963131313,0.029083192,0.809040173,0.012996033,1.894553881,0.297087417,2,0.19940759,0.377788423,0.305646011
33,fourier_basis,10,250,50,10,0.192125762,0.012632632,0.963131313,0.029083192,0.809636576,0.013304852,1.894340259,0.295879635,2,0.19948034,0.377883639,0.305948415
