input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1
15.0,1.0,10,0.17223094296138294,0.01480513885775408,0.9373182373182372,0.03958770912425797,0.15787267666407018,0.0036399029458331995,1.5717651719148815,0.2159818266425964,51.0,0.18374863104568753
15.0,2.0,10,0.183540273417072,0.019853249991332016,0.9375757575757577,0.028478937706102568,0.16310870675779685,0.0032517781568801225,1.5257352798131982,0.11737317200372219,21.0,0.1957604726167865
16.0,1.0,10,0.17454580817725165,0.015799454914779083,0.9411061161061163,0.04365663443798865,0.1578840270993773,0.0037564947204703513,1.5260791330681873,0.14422337527084,21.0,0.18546878528368888
16.0,2.0,10,0.18466117613057959,0.023210762451688897,0.9502525252525255,0.036385550355406804,0.16276222879990063,0.0033094303431513605,1.5115635997579697,0.1410055194904715,21.0,0.19432852975739967
17.0,1.0,10,0.184815284435151,0.018732781555635847,0.9222122322122323,0.07907845041013885,0.1574685360348496,0.0029673218010638305,1.5732632327531146,0.1376655480325209,21.0,0.20040428654021447
17.0,2.0,10,0.1981457249333371,0.024689315030414872,0.9462121212121213,0.03269300019903457,0.16505298700321555,0.0019806200553624006,1.460854572894323,0.1664371557735548,11.0,0.209409413060052
18.0,1.0,10,0.17588312514242105,0.012891818538595976,0.9313586413586414,0.07756951880989646,0.1579954995007266,0.003323701576392561,1.5576979729442129,0.1716137787597914,41.0,0.18884575429057854
18.0,2.0,10,0.192864725747138,0.025180927508008176,0.9235758685758686,0.03856599303936535,0.1645048223980859,0.0014561639215281026,1.424154654271074,0.1332781125669833,21.0,0.20882391182928015
19.0,1.0,10,0.1834458877426432,0.012283563376063577,0.9224647574647573,0.07697192444926533,0.1581407099336807,0.002698111949813312,1.541358089780864,0.13356414131657596,41.0,0.19886492818090315
19.0,2.0,10,0.19401191932497044,0.020423918338383282,0.9281718281718284,0.03982559848100217,0.16402828876181438,0.001804491492220476,1.4350438157123881,0.15457065796125027,31.0,0.20902586507835041
20.0,1.0,10,0.1847880986049939,0.023571463942903645,0.9394394494394493,0.08206454035781371,0.15761684505975093,0.002079789607450067,1.4889155993409222,0.14746515623279474,31.0,0.19670038203660112
20.0,2.0,10,0.1967961515084871,0.02028069450857385,0.9462121212121213,0.03269300019903457,0.16510998126050275,0.0024659203976543547,1.3972512963963029,0.14087169706144512,31.0,0.2079831224909551
21.0,1.0,10,0.19263499185358396,0.028517611702795334,0.9345859695859696,0.08466197298151751,0.15765067402741467,0.0019739432388987364,1.4733013992496333,0.18412248934759476,21.0,0.2061180010426682
21.0,2.0,10,0.21213342974087665,0.034208996858596664,0.9453990453990453,0.043150101400525546,0.16518623085246756,0.002678774061118704,1.3344281457992608,0.1486604313493854,21.0,0.22438506868952554
22.0,1.0,10,0.21139903105827318,0.03873506578737332,0.9486263736263737,0.0540548303765221,0.15609228386114063,0.0022954744703974433,1.475390227085698,0.24974577528541766,11.0,0.2228475160880725
22.0,2.0,10,0.233631413430907,0.05014472948957477,0.9585858585858587,0.03727122167170717,0.16567784875149374,0.002062132259029684,1.2334714672617177,0.14991185848683136,11.0,0.243725078289355
23.0,1.0,10,0.20725891959218154,0.02937119111406337,0.9488788988788988,0.05079232270459298,0.15626790128336582,0.0019106927808930972,1.541310737105509,0.35142550872482275,11.0,0.21842504858845332
23.0,2.0,10,0.21223929767230193,0.039643627625269115,0.9413586413586413,0.039593373170315097,0.16541644201334943,0.001802968817494888,1.290979879837833,0.16367240416179188,31.0,0.2254606144221312
24.0,1.0,10,0.2030366406075869,0.03537740569172324,0.9417626817626819,0.06414159877956094,0.15837498944095338,0.0021241981725336483,1.4423555942914352,0.18928469530637118,21.0,0.21559214921063397
24.0,2.0,10,0.2247092516350453,0.06088210002510203,0.9411061161061163,0.04365663443798865,0.16562987758301112,0.0023464556965436634,1.2687857961442905,0.18104836703554122,31.0,0.2387714284174387
25.0,1.0,10,0.20737669463478178,0.029926569732385208,0.9526356976356978,0.05062534458893778,0.15952981396902202,0.0014986409907154895,1.4639296084309166,0.18396283665262947,21.0,0.2176873018190063
25.0,2.0,10,0.21767030221557593,0.04007679041575638,0.9451465201465202,0.04692801285400011,0.16626034191261657,0.002055838899987681,1.2639938892358467,0.14023541579395754,31.0,0.2303032361393362
26.0,1.0,10,0.20903184602338634,0.03379753568037389,0.9507836607836607,0.08633931908664495,0.1588158833502634,0.0025129294645528824,1.4235197353991504,0.15838834471239843,21.0,0.2198521647407117
26.0,2.0,10,0.23671531397285478,0.04994712163091235,0.9585858585858587,0.03727122167170717,0.16627691778639092,0.0017380904878162647,1.2239556087511627,0.16507119812227725,21.0,0.2469422137335366
27.0,1.0,10,0.21627603390357913,0.03675856615032111,0.9666161616161617,0.036698409889802476,0.15698003521083706,0.002650594073130416,1.389356424743354,0.1657660365980799,11.0,0.22374551811959176
27.0,2.0,10,0.24675092267119675,0.05009989330996481,0.9626262626262626,0.039296694270559325,0.16690172952402932,0.0021208194611865073,1.1848270903406388,0.15762259213905666,11.0,0.2563309689868676
28.0,1.0,10,0.2114322123826871,0.03029052187692699,0.9326018426018425,0.10054470350236061,0.15949378988235535,0.0019867007990318716,1.3509586786854577,0.14093116569540293,21.0,0.22671219669995255
28.0,2.0,10,0.2336723779511579,0.047491614280362075,0.9284293484293485,0.034075644396005474,0.1675302639407887,0.0020592435305085686,1.2031355829929224,0.1398047942390493,31.0,0.25168568652689444
29.0,1.0,10,0.22054382162642422,0.04060518135765922,0.9709090909090909,0.03292077103585738,0.15739919769845148,0.002265308000709086,1.3979245743686055,0.22121086698063616,11.0,0.22715187620699123
29.0,2.0,10,0.23969312112155078,0.06510150741191212,0.9330253080253081,0.03486085514797149,0.16729999804650383,0.0021349129111244837,1.2141329464116382,0.15842061051464673,41.0,0.2568988419283576
