input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean
15.0,1.0,10,0.1674626915073561,0.010142170780562829,0.9464646464646463,0.03247282304177469,0.16042075976443507,0.004377498933601855,1.5822826644148296,0.20216631253785045,54.0
15.0,2.0,10,0.1744539758880578,0.016662859062185603,0.9375757575757577,0.028478937706102568,0.16582924300181592,0.0048522684375934,1.6010819464098094,0.16741798657538284,24.0
16.0,1.0,10,0.16705073054312264,0.016350999888312113,0.9365051615051616,0.04493690690976973,0.16365399860965416,0.00516323308721146,1.6624102219965278,0.20749669029975115,25.0
16.0,2.0,10,0.16862925283861727,0.019937590251895832,0.9408030858030857,0.04383537343598466,0.1681361372580922,0.005067790727684697,1.6045621525388296,0.11819651079699477,18.0
17.0,1.0,10,0.1658175335748712,0.016026054587314178,0.9505050505050505,0.03132127622972447,0.16392312879003465,0.005465801575428145,1.6476180344921822,0.2064714011795281,18.0
17.0,2.0,10,0.1660102602009535,0.01912838567207873,0.9410556110556112,0.03979229169614979,0.1683876911644011,0.004521052922560866,1.6214636761762322,0.12292253010081064,15.0
18.0,1.0,10,0.16266089809649992,0.014441704096367938,0.953984903984904,0.0407849830236328,0.16424280661281548,0.004821900276650389,1.6348133657338457,0.2946429421110487,39.0
18.0,2.0,10,0.16673661457584676,0.01802694757654478,0.9413586413586416,0.039593373170315097,0.16730369788574187,0.004353525407426751,1.643795510208695,0.1597243918661301,20.0
19.0,1.0,10,0.16711380470276843,0.016938731128628558,0.9712121212121213,0.03240205036837457,0.16342302510247694,0.005781388636402089,1.6360535645109409,0.26663294235628554,41.0
19.0,2.0,10,0.17218326634962874,0.019002297146019826,0.9370657120657121,0.03971039336067734,0.16765697395875873,0.004438456285016574,1.6062714228958366,0.1792782591171951,28.0
20.0,1.0,10,0.16737723308326005,0.01366773857476269,0.9496919746919747,0.042203107557037975,0.16461337064676632,0.005820064465803732,1.6755983430302717,0.3001265473268194,30.0
20.0,2.0,10,0.17120480002788774,0.016680651149460386,0.9453990453990455,0.043150101400525546,0.16735682535712573,0.004363918144951788,1.5534487212167807,0.14327189260619738,27.0
21.0,1.0,10,0.17132855031782357,0.013350001372870256,0.9628787878787879,0.034570144464215094,0.16220572035139097,0.005360627721948915,1.648463243504068,0.28321951221816494,26.0
21.0,2.0,10,0.17375039398561856,0.0198985417976679,0.9496919746919747,0.042203107557037975,0.1674594986920864,0.004023573980440905,1.5529204531847804,0.1547107552758,22.0
22.0,1.0,10,0.1727417299871768,0.022768667388154425,0.9537323787323787,0.044811363201789106,0.16427270914248351,0.0051066193196387276,1.6362156592714316,0.27603778900744613,14.0
22.0,2.0,10,0.16820351918549892,0.019361193606524645,0.9496919746919747,0.042203107557037975,0.16747205006739074,0.0033945097407040983,1.5804140852263815,0.13342746034517122,15.0
23.0,1.0,10,0.17591700521256,0.025933768904311996,0.9580253080253079,0.043077610043375396,0.16315418839473697,0.005112880645674999,1.6152888039588642,0.27355587500427275,13.0
23.0,2.0,10,0.18106593772379592,0.0411787957481827,0.9505050505050505,0.03132127622972447,0.1662148266028275,0.0026967602999622337,1.503193108316196,0.19974008683460467,31.0
24.0,1.0,10,0.1792881810949158,0.026513124594167187,0.9663586413586414,0.042324576757936154,0.16187592343050652,0.004589995167793779,1.6074252691069038,0.24252616890776263,19.0
24.0,2.0,10,0.17928399962942834,0.040141575158863185,0.9413586413586413,0.039593373170315097,0.16563070124792761,0.0034425270182275656,1.5208540209792205,0.20043043638590535,31.0
25.0,1.0,10,0.17818998577136408,0.02708334333269889,0.9459040959040959,0.038825657160591616,0.16355207407236974,0.0027437783759670076,1.5805293979727577,0.23924816346761726,17.0
25.0,2.0,10,0.17703641468589798,0.04179850005691328,0.9413586413586413,0.039593373170315097,0.16562588912692544,0.002429047110903588,1.5139840412726846,0.19420667840052652,36.0
26.0,1.0,10,0.18054944273009046,0.032590787218647124,0.9582778332778334,0.03884416184160671,0.16316031382469265,0.0037671037767156965,1.5286263049498305,0.23049819368396737,17.0
26.0,2.0,10,0.1693500989984567,0.02799768757997906,0.9407980907980906,0.04488717265104278,0.1665704023859659,0.003020116265004792,1.5531178083044936,0.16931130394822194,25.0
27.0,1.0,10,0.18242939261674188,0.03504049388018346,0.9499444999445,0.03792755546838588,0.16244822103300544,0.0030565902848715236,1.4818147801577108,0.2659444778310724,13.0
27.0,2.0,10,0.19017821192261805,0.05866348052415532,0.9505050505050505,0.03132127622972447,0.1660929330908971,0.0021532977889123055,1.447259794273922,0.20352272614069908,14.0
28.0,1.0,10,0.18052418373427875,0.030655692442661416,0.9587878787878787,0.02685824206495487,0.162981797559807,0.002744896956511182,1.4601528185259318,0.19217972223693017,17.0
28.0,2.0,10,0.1988619191726445,0.05698487360005529,0.9462121212121213,0.03269300019903457,0.1656279576493797,0.0023657369598376553,1.4071402257927539,0.23753348953447911,34.0
29.0,1.0,10,0.18695431198291038,0.043507110820086986,0.9671717171717171,0.03105136595745327,0.16169813628109558,0.002886297198397482,1.4444662383738966,0.20714200857973408,15.0
29.0,2.0,10,0.20342113119759286,0.07155597897384196,0.9462121212121215,0.032693000199034566,0.1657012490296232,0.002054333560842903,1.399755217259122,0.23458180621500635,40.0
