input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std
15.0,1.0,10,0.1780490725764958,0.021142201262112734,0.9858008658008657,0.02185479874722208,0.1612860248586915,0.004940509921406999,1.5488392175443069,0.18993740992721556
15.0,2.0,10,0.18814385621370916,0.03812854429059152,0.9878787878787879,0.018515457353356947,0.16694185114172014,0.0043953252325774125,1.5783429352442935,0.17587784325262748
16.0,1.0,10,0.17173255738059906,0.017777431301645854,0.9827994227994228,0.0212576006254967,0.16458466646315856,0.007171656567690518,1.5535946089031516,0.18649257725667384
16.0,2.0,10,0.1757105520863647,0.023253765852089648,0.9774675324675325,0.029427537981104375,0.16948874573868947,0.006038475215177125,1.6352763686997267,0.12355018781748639
17.0,1.0,10,0.17677804856931217,0.02111974838520636,0.9807215007215007,0.02378206471167378,0.16854226514407378,0.00516268010563903,1.5974438622880247,0.20938865934075748
17.0,2.0,10,0.17847353949017566,0.023555469747208565,0.9785064935064934,0.02858269433323312,0.1700243680989075,0.0063511620101158435,1.61332842744286,0.15454653960897824
18.0,1.0,10,0.17010298843373844,0.01822464904106503,0.9876262626262626,0.026543995854945237,0.16498795554549797,0.006297509059463624,1.617836329068351,0.22092858492048245
18.0,2.0,10,0.18229870765222556,0.02200646037328073,0.9825468975468976,0.028479497948486008,0.16993864173644357,0.0054389842244188975,1.5840503565386068,0.20433685147084327
19.0,1.0,10,0.16734688319892502,0.018812005461531483,0.9876262626262626,0.026543995854945237,0.16625019229379423,0.005488965463831579,1.543993534611899,0.24268989422486845
19.0,2.0,10,0.18906351768844265,0.0207372220226759,0.9858008658008657,0.02185479874722208,0.17095350810192164,0.005639464736668412,1.619457447611262,0.2190660806729958
20.0,1.0,10,0.17299113607873112,0.020172062160999735,0.9865873015873016,0.027794666067955807,0.1663744256275118,0.0077243669101495676,1.5618776600354733,0.270686651937495
20.0,2.0,10,0.1816599092246246,0.016653417265269796,0.9847619047619048,0.023276574958505877,0.17004081575269905,0.005324369109922367,1.57569698715605,0.17347416171503083
21.0,1.0,10,0.17820453731923772,0.022693175492485746,0.9908802308802308,0.01838689629583996,0.16476058094913082,0.0052571125267339,1.5568584536180292,0.290904429654283
21.0,2.0,10,0.18096052375032207,0.02201460297902949,0.9858008658008657,0.021854798747222078,0.16953503524157934,0.004274087620129292,1.590960815332164,0.14800480316241169
22.0,1.0,10,0.17776011522779972,0.016501061982235846,0.9876262626262626,0.026543995854945237,0.16527291426799104,0.005654526328794452,1.5837705245135107,0.22223427842605256
22.0,2.0,10,0.17437140574718707,0.02229508521700495,0.9825468975468976,0.028479497948486008,0.1692184380099951,0.004103629454329694,1.5740537830914794,0.1601843998685765
23.0,1.0,10,0.17793152969059514,0.017789188228546735,0.9876262626262626,0.026543995854945237,0.1653534955972993,0.005834386229583526,1.6361385034045035,0.19005423485696696
23.0,2.0,10,0.19044934020616883,0.033755771105131546,0.9916666666666668,0.024999999999999946,0.16964320333817606,0.003513340324321,1.5157576796911747,0.18885932711078168
24.0,1.0,10,0.17927258971433074,0.021681075627404067,0.9876262626262626,0.026543995854945237,0.16441373290776384,0.005727390324983839,1.6125967052057526,0.19907918100311958
24.0,2.0,10,0.19159798705507086,0.03615344215976004,0.9876262626262626,0.026543995854945237,0.1690110672761153,0.0035308936953641706,1.5072707787221564,0.1667142836963976
25.0,1.0,10,0.18028946031273269,0.02124559301957986,0.9876262626262626,0.026543995854945237,0.1642680211601503,0.004875347833729001,1.5568458109864738,0.2019871011700724
25.0,2.0,10,0.18898497618326363,0.03528359284054088,0.9876262626262626,0.026543995854945237,0.16868884080718413,0.002967991660026169,1.517400012210248,0.17674210296465095
26.0,1.0,10,0.18331593590297934,0.02308808052548478,0.9919191919191919,0.016161616161616175,0.1653284612397307,0.006564391835968576,1.600758971108967,0.13471857929087105
26.0,2.0,10,0.19024439036108337,0.04050944044791304,0.9835858585858585,0.027413823196979947,0.1688561196038249,0.00359062319410787,1.5208640960671933,0.16907540835092838
27.0,1.0,10,0.18491800092310756,0.02812155118697571,0.9876262626262626,0.026543995854945237,0.16363403031156298,0.0053022457754519645,1.540119530496171,0.17471819367087724
27.0,2.0,10,0.19460629228313214,0.04553577681416906,0.9908802308802308,0.01838689629583996,0.17017640801971504,0.0025974929054621777,1.4890930508149545,0.17619776234698586
28.0,1.0,10,0.1812416543269891,0.02408451647206761,0.9919191919191919,0.016161616161616175,0.16475040120957604,0.005326261120593911,1.513402956263066,0.1670960276338895
28.0,2.0,10,0.1984285415985077,0.03709227351053346,0.9959595959595958,0.012121212121212132,0.16957773045136598,0.002341900272927847,1.4449810617972474,0.20913565762142206
29.0,1.0,10,0.18430434101060472,0.031010670049967777,0.9919191919191919,0.016161616161616175,0.1634217192921092,0.004929520881962115,1.5295148616657175,0.14541081068551057
29.0,2.0,10,0.20207457324480727,0.04344225906804742,0.9959595959595958,0.012121212121212132,0.16952101592401136,0.0023887490086070906,1.4087586797502865,0.21727746448752916
