init,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,ellipse,,"('variance', 'A', 'R', 'n', 'r')",5,0.16445756038260753,0.06412197538572005,0.9828571428571429,0.03428571428571425,0.8172520600103053,0.036260782780619547,1.1894038735596568,0.15088430103135178,11.0,0.1673260062032344,0.19901819992539416,0.16264803386857116
PCA,ellipse,,"('variance', 'A')",10,0.10875256314233113,0.008936108179257881,1.0,0.0,0.8221972615648948,0.05389412377313454,1.0641821317202682,0.040521640094652055,11.0,0.10875256314233113,0.115732534474849,0.09515497291918563
PCA,ellipse,,"('variance',)",10,0.15563856012435548,0.07285758729105789,0.9225,0.23249999999999998,0.7891843072376461,0.05129766869720924,1.8245120226340887,1.3489919969501962,11.0,0.1687138863136645,0.3078205139646017,0.24292711906669034
PCA,ellipse,,"('variance', 'A', 'R')",10,0.12510623039174268,0.01845953840427913,0.9765476190476191,0.05750887242994135,0.8217916710800839,0.03664816660133082,1.171884173277781,0.23635647174419624,21.0,0.12811073208468102,0.1501309393570677,0.1233763555350674
PCA,ellipse,,"('variance', 'A', 'r')",9,260.8497479039158,737.4598686618916,0.930787037037037,0.19576382182849786,0.8663466967779018,0.10504049649136236,1.1184465496440585,0.05144540683646465,11.0,280.2464339579498,313.4406571103205,271.5482779234211
PCA,ellipse,,"('variance', 'A', 'n')",10,0.11166868877667242,0.011501203281187982,1.0,0.0,0.8054086286013945,0.032243227750868464,1.1077299851768945,0.08587191660490959,11.0,0.11166868877667242,0.12369875496330658,0.0996280445946967
PCA,ellipse,,"('variance', 'A', 'r', 'n')",8,0.11819322804576929,0.013632915685145288,1.0,0.0,0.8389823528597758,0.07300185931375125,1.0909140518421623,0.047649582044474656,11.0,0.11819322804576929,0.12893865330771487,0.10817725472667754
PCA,ellipse,,"('variance', 'A', 'R', 'n')",8,0.11704198709038402,0.016448225930090814,1.0,0.0,0.8493971806423544,0.10975347721913813,1.0740559230496483,0.051619199310898034,11.0,0.11704198709038402,0.12570963947992742,0.10677741335381714
PCA,ellipse,,"('variance', 'A', 'r', 'R')",9,0.1323618800180969,0.03783738834593106,1.0,0.0,0.8388186394002076,0.11844208162916679,1.0611844170741274,0.10781642678278767,11.0,0.1323618800180969,0.14046036448983976,0.11782077183102463
PCA,toroid,,"('variance', 'A', 'R', 'n', 'r')",6,0.11481315229154555,0.014889058157079724,1.0,0.0,0.7966948913586395,0.016733836082894894,1.1115713162555132,0.04935606474271916,11.0,0.11481315229154555,0.12762300681615799,0.10167659755026189
PCA,toroid,,"('variance', 'A')",10,0.11301649649721275,0.015224447443590835,1.0,0.0,0.8107145484008667,0.024771241866155314,1.1015773806454414,0.03148245568162683,11.0,0.11301649649721275,0.12449641618112432,0.10093105582180656
PCA,toroid,,"('variance',)",10,0.1186016121439527,0.01349895152546943,1.0,0.0,0.8143696799221122,0.013802876468371477,1.1159083969990333,0.05377679100091385,21.0,0.1186016121439527,0.13234853488905934,0.10778063399576375
PCA,toroid,,"('variance', 'A', 'R')",9,0.11359484216720402,0.017416700343869867,1.0,0.0,0.8390393471454123,0.1007256647386021,1.0758543392308901,0.0822302341979615,11.0,0.11359484216720402,0.12221150385983454,0.1025402604122146
PCA,toroid,,"('variance', 'A', 'r')",10,0.10896134795135819,0.008135868368393707,1.0,0.0,0.7462585890342452,0.013861731733832792,1.0806172486282475,0.029762157935948365,1.0,0.10896134795135819,0.11774551203002181,0.08786859967263883
PCA,toroid,,"('variance', 'A', 'n')",8,0.1127496846046264,0.008237106142681283,1.0,0.0,0.8327245638040601,0.08365148898209436,1.114992283129113,0.04826592380390857,11.0,0.1127496846046264,0.12571502825939979,0.10468599207092377
PCA,toroid,,"('variance', 'A', 'r', 'n')",8,0.10907676293949846,0.00903048694613047,1.0,0.0,0.7471026039773756,0.015307814282102289,1.0879601329995645,0.02847907935187193,1.0,0.10907676293949846,0.11867116951481871,0.08865953976156161
PCA,toroid,,"('variance', 'A', 'R', 'n')",6,0.13588590072026419,0.05097485918089823,1.0,0.0,0.8357294372852375,0.07064693021696603,1.011424614804495,0.06737176216220614,11.0,0.13588590072026419,0.13743834479335504,0.11486127055556505
PCA,toroid,,"('variance', 'A', 'r', 'R')",9,0.10877703081956393,0.00855612833407036,1.0,0.0,0.7469702486858477,0.014437200079550471,1.0827349641313055,0.030648972693265907,1.0,0.10877703081956393,0.11777669456273046,0.0879756868269199
PCA,fourier_basis,3.0,"('variance', 'A', 'alpha', 'phi', 'f')",4,0.11412707724578983,0.01232414705320179,1.0,0.0,0.7940048603657472,0.0051835611956754825,1.1244535752730402,0.06344476496377605,11.0,0.11412707724578983,0.12833060004449082,0.10189512016897849
PCA,fourier_basis,3.0,"('variance', 'A')",4,0.11412707724578983,0.01232414705320179,1.0,0.0,0.7940048603657472,0.0051835611956754825,1.1244535752730402,0.06344476496377605,11.0,0.11412707724578983,0.12833060004449082,0.10189512016897849
PCA,fourier_basis,3.0,"('variance',)",10,0.1183984866950822,0.016895315108429978,1.0,0.0,0.8077039520806183,0.04757902304626584,1.1532922406405446,0.14926450634153404,11.0,0.1183984866950822,0.13654805600902106,0.11029040448741192
PCA,fourier_basis,3.0,"('variance', 'A', 'alpha')",4,0.11412707724578983,0.01232414705320179,1.0,0.0,0.7940048603657472,0.0051835611956754825,1.1244535752730402,0.06344476496377605,11.0,0.11412707724578983,0.12833060004449082,0.10189512016897849
