init,input_dim,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
"('PCA', 'PCA')","(9.0, 10.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10925404794789535,0.009089853919523178,1.0,0.0,0.845198960790424,0.014048247932118021,1.0307496061453902,0.037991071927134266,92.0,0.10925404794789535,0.11261356689208271,0.09518086970809121
"('PCA', 'PCA')","(9.0, 11.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10850140559510843,0.009689195497638643,1.0,0.0,0.8451598884829548,0.012585032010400236,1.0306298505000142,0.038547770240362926,89.0,0.10850140559510843,0.11182478742752801,0.09450982487187969
"('PCA', 'PCA')","(9.0, 12.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.1090121543837987,0.008166202471222869,1.0,0.0,0.8438058423707018,0.01536157001228789,1.0293734846747804,0.037497822950322376,114.0,0.1090121543837987,0.112214221229956,0.0946870154709153
"('PCA', 'PCA')","(9.0, 13.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10932183260171027,0.00911458991259697,1.0,0.0,0.8449257737031542,0.011296888261289603,1.0301118409572712,0.03252505431819183,63.0,0.10932183260171027,0.11261371423817039,0.09515022963227203
"('PCA', 'PCA')","(9.0, 14.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10922281703854922,0.008394364636225018,1.0,0.0,0.8483592153380399,0.012490302197180265,1.0330258501743734,0.035794488670048114,83.0,0.10922281703854922,0.11282999342968734,0.09572036469260575
"('PCA', 'PCA')","(9.0, 15.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10909826243099141,0.008558799801843564,1.0,0.0,0.8485653703117053,0.012813596169202073,1.0354756088717072,0.03722862627167335,142.0,0.10909826243099141,0.11296858971757613,0.09586123316728609
"('PCA', 'PCA')","(9.0, 16.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10908019022928547,0.008544816696938178,1.0,0.0,0.8488481089446752,0.012309593426854582,1.0370350674607525,0.03476803963562272,151.0,0.10908019022928547,0.11311998243305878,0.09602168317215683
"('PCA', 'PCA')","(9.0, 17.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10956620581004939,0.00883827873403576,1.0,0.0,0.8512314118588915,0.012181399862587476,1.0342612161419056,0.03587813632131723,142.0,0.10956620581004939,0.11332007726915601,0.09646160936578235
"('PCA', 'PCA')","(9.0, 18.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10878665215889902,0.00812023166600965,1.0,0.0,0.8522574967389474,0.011246029236880062,1.0316304179570044,0.034890260051252286,149.0,0.10878665215889902,0.11222761943482824,0.09564683000449796
"('PCA', 'PCA')","(9.0, 19.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.1073012348163557,0.008313667310871027,1.0,0.0,0.8540896363972508,0.011370545723140056,1.030051105849083,0.03580932971367807,139.0,0.1073012348163557,0.11052575558155933,0.09439890239718542
"('PCA', 'PCA')","(9.0, 20.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10766139601990021,0.008417843721578827,1.0,0.0,0.8558948624668785,0.011163871064946419,1.0310822344775947,0.03613532455222375,118.0,0.10766139601990021,0.11100775277517594,0.09501096529426646
"('PCA', 'PCA')","(9.0, 21.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10828507641277618,0.00933765054632067,1.0,0.0,0.8567073681696185,0.011983048989862364,1.02999897892679,0.03712695547569698,112.0,0.10828507641277618,0.1115335181381689,0.09555158678684908
"('PCA', 'PCA')","(9.0, 22.0)","('fourier_basis', 'none')","(5.0, 0.0)",10,0.10721422172113018,0.008558534794519033,1.0,0.0,0.8567129086569281,0.012200379216394481,1.0276990679018954,0.03750932597006284,107.0,0.10721422172113018,0.11018395572863263,0.09439601719960306
