input_dim,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
9,fourier_basis,5,0,0,10,0.106695135,0.008556443,1,0,0.791318804,0.008397643,1.027344351,0.034590761,31,0.106695135,0.109612645,0.086738547
9,fourier_basis,4,0,0,10,0.106341866,0.008164927,1,0,0.775761861,0.00683333,1.039889536,0.035409507,41,0.106341866,0.110583794,0.08578669
9,fourier_basis,6,0,0,10,0.110290601,0.010177169,1,0,0.805749247,0.011245949,1.008867322,0.036112157,41,0.110290601,0.111268584,0.089654578
9,fourier_basis,5,0,75,10,0.111584218,0.010953628,1,0,0.749936333,0.006390762,1.087156902,0.035805441,21,0.111584218,0.121309553,0.090974441
9,fourier_basis,4,0,75,10,0.110222712,0.008328887,1,0,0.733331896,0.005662638,1.112591366,0.043495035,41,0.110222712,0.122632838,0.089930572
9,fourier_basis,5,0,50,10,0.112610303,0.011514339,1,0,0.746900706,0.006378147,1.096368599,0.037784913,21,0.112610303,0.1234624,0.092214154
9,fourier_basis,4,0,50,10,0.110958994,0.008456851,1,0,0.730348653,0.005830675,1.122322663,0.043906638,41,0.110958994,0.124531794,0.090951628
11,fourier_basis,5,400,50,10,0.110765465,0.00723276,1,0,0.71664016,0.014438351,1.12695033,0.03520799,11,0.110765465,0.124827177,0.089456168
9,fourier_basis,6,0,75,10,0.120184013,0.010474898,0.995714286,0.012857143,0.761183059,0.014100844,1.041804476,0.038737268,31,0.120701304,0.125747159,0.095716607
9,fourier_basis,6,0,50,10,0.121680554,0.010518617,0.995714286,0.012857143,0.757915432,0.014068625,1.050218286,0.040000456,31,0.122204287,0.128341176,0.097271758
9,fourier_basis,5,0,25,10,0.115599482,0.012283464,1,0,0.736486497,0.006082555,1.126329588,0.044518553,21,0.115599482,0.130203117,0.095892837
12,fourier_basis,5,400,50,10,0.112088425,0.006047437,1,0,0.704920934,0.014592062,1.168424228,0.079652852,11,0.112088425,0.130966832,0.092321261
