Model,Mean,Std Dev,Difference,Statistic,p-value
GPDM_MCCV_CMU,0.10894363934972433,0.007346968914533474,-,-,-
GPDM_geo_4_MCCV_CMU,0.1081170568576098,0.00758039044373579,-0.0008265824921145221,2.8543892442945773,0.006303392872449754
GPDM_50_MCCV_CMU,0.11314711525351444,0.008386283291749947,0.00420347590379011,-9.054570135340649,4.889581060159831e-12
GPDM_50_50_MCCV_CMU,0.11313191169833979,0.00811556716911107,0.004188272348615463,-8.011492810808086,1.8348104587661926e-10
RNN_MCCV_CMU,0.20645043113771477,0.03842412289562276,0.09750679178799045,-18.533833261911578,8.770563472947963e-24
transformer_MCCV_CMU,0.25428294942992813,0.029784403674339124,0.1453393100802038,-34.71180781629126,3.674667062517365e-36
VAE_MCCV_CMU,0.1311475711432622,0.012620547442360712,0.02220393179353787,-17.39675921661065,1.3062332307374004e-22
