Model,Mean,Std Dev,Difference,Statistic,p-value
GPDM_MCCV_CMU,1.0400155420262494,0.04309336438926915,-,-,-
GPDM_50_MCCV_CMU,1.1089284055196023,0.051346709390455866,0.0689128634933529,-16.655750594235588,8.145593134058366e-22
GPDM_50_50_MCCV_CMU,1.1448600858593196,0.055935559689270054,0.10484454383307029,-19.812165097887092,4.870660450101434e-25
RNN_MCCV_CMU,548.4594211936301,533.352306996938,547.4194056516038,-7.1846057950966715,3.4355901561590956e-09
transformer_MCCV_CMU,4.641689110970711,1.988303941556832,3.601673568944462,-12.757153236129607,3.440598201358818e-17
VAE_MCCV_CMU,1.0371450916236642,0.0676569738810129,-0.0028704504025851563,0.3713928631091804,0.7119460364672408
