init,type,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,map,10,0.148314241,0.013782118,1,0,0.78820306,0.013167427,3.597373533,2.667427597,41,0.148314241,0.533541725,0.42053922
PCA,linear,10,0.149460736,0.017448948,1,0,0.797298365,0.021231336,3.946325144,1.732837582,11,0.149460736,0.58982066,0.470263048
PCA,kernel,10,0.15112403,0.014752033,1,0,0.746939299,0.013014075,9.251062638,8.678473129,6,0.15112403,1.398057868,1.044264364
kernel pca:rbf,map,10,0.185703851,0.01153901,1,0,0.749422239,0.007894493,18.55479823,5.155584464,31,0.185703851,3.445697481,2.582282323
kernel pca:rbf,kernel,10,0.184522045,0.019226228,1,0,0.803733812,0.048975944,21.62714874,16.28249944,21,0.184522045,3.990685716,3.207449045
kernel pca:rbf,linear,10,0.180720248,0.017674749,1,0,0.789042254,0.033304397,33.51870828,47.25949763,19,0.180720248,6.057509263,4.779630761
kernel pca:rbf,mlp,5,0.18080698,0.029562782,0.9625,0.045927933,0.786864102,0.025218766,118.6340029,130.1706558,21,0.187851408,22.28556451,17.5357107
PCA,mlp,3,0.194218224,0.009171442,1,0,0.737876465,0.019351868,356.1495408,337.5441872,1,0.194218224,69.17073138,51.03945473
