init,geometry,geo params,num_inducing_latent,num_inducing_dynamics,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,fourier_basis,10,0,0,10,0.149606673,0.016143184,0.929010212,0.043531227,0.927773298,0.010444821,1.103647891,0.082107117,41,0.161038782,0.177730112,0.164893252
kernel pca:rbf,fourier_basis,8,0,0,10,0.152352488,0.016757133,0.941611167,0.035060535,0.911082978,0.011703868,1.105714371,0.07791015,61,0.161799789,0.178904352,0.16299671
kernel pca:rbf,fourier_basis,11,0,0,10,0.152238924,0.013659028,0.93223754,0.045620758,0.940209503,0.012686756,1.09867948,0.084931582,51,0.163304863,0.179419702,0.168692109
kernel pca:rbf,fourier_basis,9,0,0,10,0.156246233,0.020011105,0.936757687,0.041029048,0.920200292,0.011027212,1.115863146,0.085036394,51,0.166794717,0.186120078,0.17126775
kernel pca:rbf,fourier_basis,8,0,75,10,0.191343895,0.026365453,0.958025308,0.04307761,0.852756044,0.006462604,1.219040755,0.099156457,11,0.19972739,0.243475829,0.207625485
kernel pca:rbf,fourier_basis,8,0,50,10,0.198787708,0.02825918,0.953171828,0.049690578,0.847220154,0.006548696,1.232692087,0.101721681,11,0.208553906,0.25708275,0.217805687
kernel pca:rbf,fourier_basis,9,0,75,10,0.193716285,0.026318227,0.915036075,0.089245289,0.827288457,0.009250441,1.337956863,0.172854522,41,0.211703441,0.283250071,0.234329514
kernel pca:rbf,fourier_basis,9,0,50,10,0.202105699,0.026641699,0.90678355,0.086615419,0.82007888,0.008422,1.371695824,0.176129683,41,0.222881965,0.305726261,0.25071965
kernel pca:rbf,fourier_basis,10,0,75,10,0.206155816,0.033073444,0.891505162,0.088360443,0.845632383,0.010194333,1.373126519,0.145399716,21,0.231244669,0.317528188,0.268512118
kernel pca:rbf,fourier_basis,8,0,25,10,0.22002404,0.030268806,0.883171717,0.101042573,0.830229155,0.0093253,1.316989819,0.114464915,21,0.2491294,0.328100884,0.27239892
kernel pca:rbf,fourier_basis,11,0,75,10,0.226967107,0.028665521,0.877896881,0.088375723,0.835808017,0.00810297,1.380397769,0.151195414,21,0.258535042,0.356881196,0.298284164
kernel pca:rbf,fourier_basis,10,0,50,10,0.212156967,0.035513465,0.8719778,0.087429486,0.832606016,0.007111399,1.467506211,0.171964656,41,0.243305468,0.357052286,0.297283881
kernel pca:rbf,fourier_basis,11,0,50,10,0.233971226,0.028620953,0.867010878,0.087572627,0.827299682,0.00866202,1.42588474,0.162720318,21,0.26985962,0.384788714,0.318335581
