init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
umap:cosine,kernel geo,fourier_basis,10,10,0.193499693,0.017001617,0.86917982,0.04489042,0.941434603,0.0340524,1.835727261,0.20221497,11,0.222623315,0.408675688,0.384741434
PCA,kernel geo,fourier_basis,6,10,0.207011747,0.019373624,0.881723721,0.089193161,0.871720412,0.025999708,1.745453468,0.272106285,51,0.234780739,0.409798856,0.357230027
PCA,kernel geo,toroid,,10,0.186149367,0.017465357,0.826758464,0.095389667,0.889278782,0.034953363,1.829810004,0.180819521,31,0.225155684,0.411992123,0.366375853
umap:cosine,linear geo,cocentric_circles,,10,0.154825034,0.035863369,0.913164613,0.051670586,0.851725433,0.014591725,2.439394769,1.962432991,1,0.169547781,0.413593969,0.352268503
kernel pca:rbf,kernel geo,toroid,,10,0.200843176,0.089233399,0.834548834,0.23561037,0.864361819,0.050872116,1.749626411,0.428181689,21,0.240660783,0.421066462,0.363953772
umap:cosine,kernel geo,fourier_basis,8,10,0.211952991,0.032078815,0.868123543,0.063531236,0.922986164,0.021990946,1.733161009,0.209431777,21,0.244150724,0.423152515,0.390563917
umap:cosine,kernel geo,ellipse,,10,0.191712098,0.042770134,0.897301032,0.061890991,0.878385127,0.024716432,1.982892381,0.318531726,31,0.213654159,0.423653204,0.372130674
umap:euclidean,kernel geo,toroid,,10,0.203384957,0.031773216,0.925681874,0.036969495,0.964606986,0.029566507,1.950081838,0.512956193,11,0.219713665,0.428459628,0.41329515
kernel pca:rbf,linear geo,fourier_basis,7,9,0.204491455,0.031540805,0.954545455,0.040666237,0.782643846,0.014076641,2.007298121,0.542019991,11,0.214229144,0.430021758,0.336553883
kernel pca:rbf,linear geo,fourier_basis,10,9,0.202699157,0.042486492,0.954545455,0.040666237,0.795931966,0.017804124,2.034276629,0.56786883,11,0.212351498,0.431981688,0.343828035
umap:euclidean,kernel geo,ellipse,,10,0.195998516,0.021717966,0.935194805,0.052415186,0.90656592,0.028051622,2.062618767,0.670115629,21,0.209580416,0.432284499,0.391894394
umap:euclidean,kernel geo,fourier_basis,7,10,0.200140931,0.025266299,0.886595294,0.052051244,0.923601721,0.025682503,1.917930903,0.323276161,11,0.225741025,0.432955689,0.399878619
umap:cosine,kernel geo,fourier_basis,7,10,0.193196791,0.018323332,0.909808081,0.067685789,0.944523572,0.03406339,2.042974606,0.334414031,11,0.21234895,0.433823513,0.409756534
PCA,linear geo,fourier_basis,6,10,0.207617989,0.041037442,0.91467699,0.048260686,0.873736611,0.017390503,1.911758268,0.447986491,11,0.226985035,0.433940518,0.379149718
umap:euclidean,kernel geo,fourier_basis,11,10,0.209609837,0.0292552,0.860582222,0.072233379,0.895513854,0.021944951,1.799321845,0.378028172,31,0.243567473,0.438256275,0.392464566
kernel pca:rbf,linear geo,fourier_basis,9,10,0.200089915,0.047194065,0.959090909,0.040918443,0.809393313,0.028430314,2.111542062,0.603061246,11,0.208624556,0.440519525,0.356553558
PCA,kernel geo,cocentric_circles,,10,0.186316206,0.022053308,0.722088356,0.241353219,0.863978875,0.041757036,1.715286025,0.229585782,31,0.258024111,0.442585152,0.382384222
PCA,mlp geo,fourier_basis,6,2,0.263043037,0.032714313,0.904761905,0.095238095,0.947189552,0.023116593,1.549035474,0.321543487,1,0.290731778,0.450353837,0.426570449
umap:cosine,linear geo,fourier_basis,7,10,0.174220235,0.027237798,0.937065712,0.039710393,0.872962968,0.03250935,2.447667198,1.842995654,11,0.185921044,0.45507284,0.397261737
umap:cosine,kernel geo,toroid,,10,0.204282978,0.03644704,0.920171828,0.04073441,0.96884832,0.035796546,2.059561267,0.393239862,11,0.222005251,0.457233416,0.442989827
umap:euclidean,kernel geo,fourier_basis,8,10,0.205473879,0.030572439,0.830413475,0.110377604,0.912646947,0.027372749,1.902721299,0.531917747,21,0.247435628,0.470801039,0.42967513
umap:cosine,linear geo,fourier_basis,5,10,0.172700882,0.023821563,0.930644356,0.055945618,0.864121101,0.014579918,2.580705489,1.439656912,11,0.185571299,0.478904869,0.413831802
umap:euclidean,kernel geo,fourier_basis,10,10,0.194054258,0.027406986,0.831098957,0.137234374,0.923317047,0.038045047,2.102754551,0.436993538,11,0.233491158,0.490974596,0.453325214
umap:cosine,kernel geo,cocentric_circles,,10,0.193163307,0.026746794,0.80222311,0.23746223,0.942632157,0.031893092,2.106150877,0.780047162,11,0.24078502,0.507129581,0.478036651
umap:euclidean,linear geo,ellipse,,10,0.187591676,0.026202276,0.945651571,0.039006366,0.865544426,0.017941894,2.620948158,1.198909654,11,0.198372933,0.519925173,0.450018335
kernel pca:rbf,mlp geo,fourier_basis,6,7,0.228981182,0.05962236,0.958874459,0.031503237,0.914332938,0.033697551,2.240612237,1.832127444,11,0.238802045,0.535062785,0.489225528
