input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1
15.0,1.0,10,0.17223094296138292,0.01480513885775408,0.9373182373182372,0.03958770912425797,0.8448378186348062,0.017825646250487416,1.5717651719148815,0.2159818266425964,51.0,0.1837486310456875
15.0,2.0,10,0.183540273417072,0.019853249991332016,0.9375757575757577,0.028478937706102568,0.8721083178406126,0.01136886319427294,1.5257352798131982,0.11737317200372219,21.0,0.1957604726167865
16.0,1.0,10,0.17454580817725165,0.015799454914779083,0.9411061161061163,0.04365663443798865,0.8443527594304576,0.01644663662207988,1.5260791330681873,0.14422337527084,21.0,0.18546878528368888
16.0,2.0,10,0.18466117613057959,0.023210762451688897,0.9502525252525255,0.036385550355406804,0.8708076537261089,0.012702600190441591,1.5115635997579697,0.1410055194904715,21.0,0.19432852975739967
17.0,1.0,10,0.184815284435151,0.018732781555635847,0.9222122322122323,0.07907845041013885,0.8425867484318303,0.013616152729170225,1.5732632327531146,0.1376655480325209,21.0,0.20040428654021447
17.0,2.0,10,0.1981457249333371,0.024689315030414872,0.9462121212121213,0.032693000199034566,0.882844856684066,0.013225147392978904,1.460854572894323,0.1664371557735548,11.0,0.209409413060052
18.0,1.0,10,0.17588312514242105,0.012891818538595974,0.9313586413586414,0.07756951880989646,0.8466754511566151,0.016442547194273762,1.5576979729442129,0.1716137787597914,41.0,0.18884575429057854
18.0,2.0,10,0.19286472574713803,0.025180927508008176,0.9235758685758686,0.038565993039365344,0.8785889055698541,0.005416417924245089,1.424154654271074,0.13327811256698327,21.0,0.20882391182928017
19.0,1.0,10,0.18344588774264317,0.012283563376063577,0.9224647574647575,0.07697192444926533,0.8468381972090777,0.012986457920463872,1.541358089780864,0.13356414131657596,41.0,0.19886492818090307
19.0,2.0,10,0.19401191932497044,0.020423918338383282,0.9281718281718284,0.03982559848100217,0.8767237193272308,0.010060671877384976,1.4350438157123881,0.15457065796125027,31.0,0.20902586507835041
20.0,1.0,10,0.1847880986049939,0.023571463942903645,0.9394394494394493,0.08206454035781371,0.8447633609820684,0.010163892305226137,1.4889155993409222,0.14746515623279474,31.0,0.19670038203660112
20.0,2.0,10,0.1967961515084871,0.02028069450857385,0.9462121212121213,0.03269300019903457,0.8834583655378114,0.012841823617068001,1.3972512963963029,0.1408716970614451,31.0,0.2079831224909551
21.0,1.0,10,0.19263499185358396,0.028517611702795334,0.9345859695859696,0.0846619729815175,0.844542525751268,0.011731336530851129,1.4733013992496333,0.18412248934759476,21.0,0.2061180010426682
21.0,2.0,10,0.21213342974087665,0.034208996858596664,0.9453990453990453,0.043150101400525546,0.88374700192237,0.013753802330714951,1.3344281457992608,0.1486604313493854,21.0,0.22438506868952554
22.0,1.0,10,0.21139903105827318,0.03873506578737332,0.9486263736263737,0.0540548303765221,0.8356907211913477,0.010532555802552926,1.475390227085698,0.24974577528541766,11.0,0.2228475160880725
22.0,2.0,10,0.23363141343090704,0.05014472948957477,0.9585858585858587,0.03727122167170717,0.887214679370001,0.010723456641789047,1.2334714672617177,0.14991185848683133,11.0,0.24372507828935505
23.0,1.0,10,0.20725891959218154,0.02937119111406337,0.9488788988788988,0.05079232270459298,0.8369769465448517,0.010616734489267109,1.541310737105509,0.35142550872482275,11.0,0.21842504858845332
23.0,2.0,6,0.23266931741054495,0.04782654476158866,0.9444444444444446,0.03928371006591922,0.8827713723025786,0.013627078777540628,1.2320540578803072,0.21298418334722802,21.0,0.2463557478464593
