input_dim,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
"(8.0, 13.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.1712180679758742,0.016102734068928357,0.9669191919191921,0.03626969487393486,0.7557199728146772,0.0284391251873278,1.4607101360214048,0.2939071477302681,119.0,0.17707588121819318,0.25865653454033705,0.19547190925116212
"(8.0, 14.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17133800826411616,0.016970064009787546,0.9589191919191921,0.036907964410888436,0.772618250246892,0.04085768883889569,1.414549711507555,0.21929444576561566,55.0,0.17867825538166388,0.2527492746028059,0.1952787022947911
"(8.0, 15.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17568252044536775,0.017475311394402154,0.9562049062049063,0.05852771871852079,0.7575889268102098,0.030480642253199013,1.5074401256703642,0.19252746115054142,148.0,0.18372894690808095,0.2769603868164012,0.209822122217178
"(8.0, 16.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16959927320509433,0.014813790768310225,0.9537323787323789,0.04481136320178909,0.7323309812916241,0.024239179467385925,1.4312519751613244,0.1334726007948823,122.0,0.17782690090747622,0.25451510316064246,0.18638929525117223
"(8.0, 17.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17747538533918847,0.014514733796648875,0.9588383838383839,0.03228078810508875,0.7319540731628777,0.012599315562254744,1.5052579995161433,0.16884971302056043,144.0,0.1850941601114528,0.27861446517148614,0.203932992624366
"(8.0, 18.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.1671918185511597,0.014038109521315272,0.9553535353535354,0.028579076184360303,0.7368397971554834,0.022665424784670284,1.4994816353169114,0.15774805248353288,134.0,0.17500518118592523,0.26241705527360354,0.19335932977794132
"(8.0, 19.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16684770188158676,0.016607374867346265,0.9588383838383837,0.03699387215309997,0.742383142915289,0.020084403906946265,1.4685743717908362,0.173877882972877,132.0,0.17401024478564225,0.2555469859212442,0.18971377457074237
"(8.0, 20.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17179105804225972,0.018706088042226128,0.9755050505050505,0.02733928466644378,0.7360628995584999,0.008287317427015778,1.5501025694548614,0.20798502192299068,133.0,0.17610473462266332,0.2729804016317569,0.20093074594771484
"(8.0, 21.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16603540601447014,0.014876052667878538,0.9755050505050505,0.02733928466644378,0.7430179643385825,0.01371840401319339,1.531271871228439,0.29702612602144274,155.0,0.1702045580681599,0.2606294521246407,0.19365236496433058
"(8.0, 22.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.1648091610832954,0.012359756729461567,0.9674242424242425,0.03990298535166901,0.7485251179533927,0.013656302844413768,1.546002517060207,0.31243098782949974,158.0,0.1703587256303445,0.26337501862768176,0.1971428168842625
"(8.0, 23.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17409977130255452,0.035143050055676306,0.9540657120657121,0.044546018871411894,0.757413134827502,0.04341524312048813,1.4464518992924706,0.23844331263916324,112.0,0.18248194972398635,0.2639513627648532,0.19992022911371868
"(8.0, 24.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16498541631599922,0.015376753694080526,0.9752525252525253,0.03321067115711831,0.7456980261540582,0.015871785598857723,1.4971973074543117,0.2507125209502898,141.0,0.16917199601536947,0.25328385693088273,0.18887327217004612
"(8.0, 25.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16344333172990994,0.010436965638529958,0.9795454545454545,0.027673127018531446,0.7545275009192834,0.021049140849573093,1.5220978609483153,0.20593445011868708,134.0,0.1668563015340148,0.253971619650671,0.19162857147944357
"(8.0, 26.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.16798361032592712,0.024757845628436692,0.9752525252525253,0.033210671157118316,0.7574917667588098,0.029680835301211534,1.395355490445501,0.2442304340557685,81.0,0.17224627055688022,0.24034477933030404,0.18205919152616828
"(8.0, 27.0)","('fourier_basis', 'none')","(2.0, 0.0)",10,0.17390429942779617,0.026347934441612764,0.9712121212121211,0.03240205036837457,0.7577915977953131,0.027049822306953138,1.48291839821348,0.22444966417852405,92.0,0.17905902905202103,0.265529928547484,0.2012163488164732
