init,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
kernel pca:rbf,chebyshev_basis,3,10,0.22045416,0.014744511,0.946878788,0.032112554,0.738698803,0.01971641,4.586871932,1.043091091,67,0.232821944,1.06792444,0.788874506
kernel pca:rbf,random_sine_waves,4,10,0.275325223,0.046895627,0.971545455,0.031851675,0.820002846,0.04670367,4.072442357,2.554339532,48,0.283388926,1.154085067,0.94635304
isomap:15,chebyshev_basis,2,10,0.248669081,0.04089923,0.80662149,0.083056788,1.043020608,0.071606103,3.865913456,4.773518891,32,0.308284721,1.19180205,1.243074099
isomap:15,legendre_basis,2,10,0.248669081,0.04089923,0.80662149,0.083056788,1.043020608,0.071606103,3.865913456,4.773518891,32,0.308284721,1.19180205,1.243074099
kernel pca:rbf,random_sine_waves,2,10,0.285763456,0.03843517,0.955050505,0.02260912,0.81587551,0.04560276,3.98469854,1.346093055,31,0.299212926,1.192273309,0.972746594
isomap:15,chebyshev_basis,4,10,0.235544434,0.046194846,0.806871129,0.079286602,1.01870538,0.062598432,4.101985767,4.166188317,30,0.29192324,1.197464976,1.219864013
isomap:15,chebyshev_basis,3,10,0.237466349,0.036276845,0.798901987,0.092386833,1.012140825,0.053175181,4.351116287,5.475043584,41,0.297240904,1.293329739,1.309031829
isomap:15,legendre_basis,5,10,0.251460119,0.062802353,0.817925852,0.079777881,1.015755269,0.061099182,4.526416437,3.69468568,34,0.307436326,1.391584841,1.413509634
isomap:15,chebyshev_basis,5,10,0.234205912,0.06134756,0.798370296,0.069950742,1.012535489,0.054026193,4.967403722,4.116077662,26,0.293354993,1.457212683,1.475479556
kernel pca:rbf,none,,10,0.232480589,0.031821705,0.959424242,0.025836877,0.784143826,0.020886335,6.440485358,3.323774951,30,0.242312607,1.560610797,1.223743321
isomap:15,legendre_basis,4,10,0.250695794,0.053614081,0.799845488,0.085569616,1.015760972,0.061273818,5.2948825,6.629289431,37,0.313430279,1.659576497,1.685733035
