input_dim,order,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
5,2,10,0.174455999,0.016121753,0.919025419,0.042001828,0.992271674,0.03244585,1.446008337,0.230809414,21,0.189827175,0.274491678,0.272370317
13,2,10,0.17562814,0.025000576,0.91958597,0.036624307,0.860664114,0.013301223,1.539114312,0.125538437,41,0.190986102,0.293949443,0.252991737
12,2,10,0.175481945,0.022323439,0.917676213,0.05068855,0.86520616,0.01748092,1.585265929,0.12734929,31,0.191224249,0.303141287,0.262279709
5,1,10,0.182669665,0.026206373,0.940798091,0.044887173,0.997930213,0.036052672,1.581045884,0.391384623,31,0.194164579,0.306983108,0.306347719
14,2,10,0.182334193,0.018621053,0.923903319,0.033419257,0.871579267,0.011217943,1.577568073,0.155908328,21,0.197352027,0.311336257,0.271354227
11,2,10,0.178027048,0.020348863,0.920684871,0.064079068,0.878071531,0.022090806,1.617278958,0.206812334,21,0.193363716,0.31272307,0.274593225
14,1,10,0.175250552,0.017414416,0.937878788,0.033524094,0.849551298,0.012974896,1.716437367,0.233099503,41,0.186858424,0.320730781,0.272477252
10,2,10,0.177286556,0.021108206,0.908871684,0.049366584,0.884396512,0.016419749,1.657162637,0.211349689,21,0.195062251,0.323249874,0.285881061
11,1,10,0.186754653,0.027251325,0.925790876,0.06167736,0.876763571,0.022060013,1.724772228,0.303873627,21,0.201724447,0.347928724,0.305051231
13,1,10,0.184664744,0.013240106,0.927358752,0.048475159,0.853545585,0.021779937,1.795442329,0.210555746,31,0.19912978,0.357526036,0.30516477
9,2,10,0.184464653,0.013696636,0.894871795,0.048058692,0.89909772,0.017638277,1.736945751,0.205383476,11,0.206135286,0.358045809,0.321918171
12,1,10,0.182594196,0.018160803,0.927358752,0.048475159,0.857389319,0.018801023,1.841008988,0.344016456,31,0.196897043,0.362489226,0.310794391
8,2,10,0.190601828,0.023974104,0.873695749,0.053927852,0.887903819,0.017055062,1.718705097,0.285924044,31,0.218155837,0.374945549,0.332915585
6,2,10,0.211927648,0.027205932,0.910131535,0.038110628,0.924625981,0.02846373,1.625781528,0.247705719,21,0.232853868,0.378569517,0.350035211
7,2,10,0.205339863,0.022164052,0.889198579,0.045273549,0.88039299,0.022819827,1.775023601,0.294757833,41,0.230926891,0.409900681,0.360873686
6,1,10,0.208779664,0.033646123,0.922505273,0.051629789,0.94377409,0.023425303,1.838345963,0.341597904,31,0.226318126,0.416051013,0.392658166
10,1,10,0.209874932,0.03547822,0.907498057,0.059827483,0.883141622,0.015624703,1.898538914,0.231373005,41,0.231267638,0.43907061,0.387761531
7,1,10,0.219820184,0.033934538,0.912604063,0.055546954,0.909280999,0.026703253,1.892322791,0.479781547,31,0.240871363,0.455806369,0.414456071
9,1,10,0.209510247,0.031634727,0.894311244,0.052007158,0.897638435,0.012739831,1.993742096,0.410792832,21,0.234269946,0.467073854,0.419263443
8,1,10,0.216940341,0.049606174,0.88466256,0.05763881,0.906330274,0.01771078,2.130860835,0.831502188,41,0.24522383,0.522537856,0.473591878
