init,geometry,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,none,10,0.14831424085088868,0.013782117899643148,1.0,0.0,0.7882030601815652,0.013167426940443504,3.597373533028313,2.667427596574054,41.0,0.14831424085088868,0.5335417246081736,0.4205392200707123
PCA,linear,10,0.15121117707720327,0.01784688315734921,1.0,0.0,0.7792084894941885,0.013082514873788533,2.693191963839607,1.0427341730699742,31.0,0.15121117707720327,0.40724072694705166,0.3173254317049274
PCA,ellipse,10,0.11930321722424612,0.017611582466872076,1.0,0.0,0.7805758173969138,0.008821755841823783,1.0906031091053734,0.04807946309540233,21.0,0.11930321722424612,0.13011245963103657,0.10156263953001933
PCA,toroid,10,0.1071025896329552,0.007963180996122232,1.0,0.0,0.7828786220973566,0.009255847409325267,1.0527797044032872,0.036605617184219945,21.0,0.1071025896329552,0.11275543265460915,0.0882738177506317
PCA,sphere,10,0.15623225554573295,0.014109176201083585,1.0,0.0,0.9135039832669586,0.01863223658960661,2.9464511181476425,0.6827376351882404,71.0,0.15623225554573295,0.46033070404345305,0.4205139317637778
PCA,spiral,10,0.10648854238915924,0.007938303548594618,1.0,0.0,0.7966247940200055,0.010175096909164067,1.046189190337247,0.03514266171258611,41.0,0.10648854238915924,0.11140716194230812,0.08874970743464461
PCA,torus,10,0.14684886647836753,0.030837210194828674,0.20297619047619042,0.0485340740398695,1.0880890398537217,0.06943067741288259,2.1965715139385003,0.9449318000164547,31.0,0.7234782864623388,1.5891717949962114,1.7291604125800433
PCA,mobius strip,10,0.12819913113607723,0.012561215277441688,1.0,0.0,0.7800864838125875,0.011727483049717945,1.3052325199575319,0.09543517415400112,21.0,0.12819913113607723,0.16732967498910817,0.13053161779975644
PCA,klein bottle,10,0.11844502067866607,0.01975624847462192,1.0,0.0,0.7779622275590334,0.010107236677640219,1.0923336372617964,0.06451152244437898,21.0,0.11844502067866607,0.12938148025347598,0.10065390458287927
kernel pca:rbf,none,10,0.185703850779059,0.011539010054797462,1.0,0.0,0.7494222394769238,0.007894492746754097,18.55479822674608,5.155584463934361,31.0,0.185703850779059,3.4456974811352024,2.582282322872339
kernel pca:rbf,linear,10,0.18103891639496714,0.00833914903981621,1.0,0.0,0.7396419118020938,0.010032337542375964,32.2848195611924,10.430913359760503,1.0,0.18103891639496714,5.844808749365311,4.323065517498163
